"num","site","name","zone_en","lat","long","campaign","classe_age","batch","date","date_jj","mean_CM","mean_mass"
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"1999","J1","1999_J1_CAPT_2n_AR",1999-03-02,60,  NA,30.32
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2001","J1","2001_J1_CAPT_2n_AR",2001-09-17,259,0.097,49.43
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2003","N0","2003_N0_CAPT_2n_AR",2003-02-27,57,  NA,2.54
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2003","N0","2003_N0_CAPT_2n_AR",2003-06-16,166,0.035,3.83
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2015","N0","2015_N0_ECLO_2n_E4",2015-07-01,181,0.579,9.39
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2015","N0","2015_N0_ECLO_2n_E4",2015-05-19,138,0.511,2.74
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2015","N0","2015_N0_ECLO_2n_E4",2015-05-05,124,0.014,1.84
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2015","N0","2015_N0_ECLO_2n_E4",2015-06-02,152,0.569,4.08
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2001","J1","2001_J1_CAPT_2n_AR",2001-11-23,326,0.103,52.62
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2015","N0","2015_N0_ECLO_2n_E4",2015-04-03,92,0.014,0.74
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2015","J1","2015_J1_ECLO_2n_E4",2015-10-29,301,0.113,61.03
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2001","J1","2001_J1_CAPT_2n_AR",2001-03-07,65,  NA,30.79
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2001","J1","2001_J1_CAPT_2n_AR",2001-06-05,155,0.054,34.30
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2015","N0","2015_N0_ECLO_2n_E4",2015-06-18,168,0.571,5.38
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2017","J1","2017_J1_ECLO_2n_E4",2017-04-10,99,0.007,44.56
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2011","N0","2011_N0_CAPT_2n_AR",2011-10-26,298,0.815,27.12
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2011","N0","2011_N0_CAPT_2n_AR",2011-07-05,185,0.768,12.19
"11","AGNAS","Banc d'Agnas","Pertuis d’Antioche/Bay of Marennes-Oléron ",45.86854,-1.172305,"2001","J1","2001_J1_CAPT_2n_AR",2001-03-09,67,0.000, NA
